lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC120218_T1w	762.0	1033.0	829.0	1043.0	439.0	1495.0	684.0	871.0	362.0	208.0	1489.0	895.0	248.0	636.0	2840.0	4830.0	434.0	424.0	1143.0	960.0	1166.0	1882.0	837.0	1345.0	1152.0	1727.0	1463.0	1347.0	1552.0	1291.0	643.0	402.0	357.0	1188.0	414.0	966.0	1330.0	1281.0	103.0	163.0	784.0	1202.0	1142.0	1794.0	2208.0	561.0	345.0	812.0	1069.0	554.0	300.0	1278.0	872.0	2094.0	163.0	1404.0	665.0	708.0	420.0	539.0	1232.0	228.0	445.0	757.0	1503.0	818.0	1415.0	1264.0	810.0	455.0	497.0	766.0	2963.0	364.0	74662.5	1052329.0	1446273.042561
sub-CC210023_T1w	699.0	1262.0	960.0	1176.0	608.0	1699.0	936.0	1164.0	431.0	184.0	1366.0	976.0	228.0	847.0	3289.0	5413.0	481.0	500.0	1256.0	915.0	1272.0	1972.0	865.0	1753.0	1676.0	2817.0	2067.0	1474.0	2172.0	1956.0	704.0	429.0	395.0	1487.0	543.0	925.0	1422.0	1734.0	232.0	197.0	989.0	1249.0	1121.0	1204.0	2246.0	820.0	356.0	910.0	1160.0	588.0	396.0	1648.0	885.0	2111.0	206.0	2039.0	648.0	870.0	490.0	611.0	1305.0	172.0	513.0	999.0	1371.0	902.0	1925.0	1435.0	1021.0	411.0	880.0	999.0	4170.0	316.0	87449.5	1144828.0	1567278.711264
sub-CC210088_T1w	780.0	937.0	1067.0	722.0	467.0	1396.0	683.0	920.0	374.0	152.0	1203.0	783.0	294.0	887.0	2877.0	4722.0	429.0	443.0	1129.0	938.0	1305.0	1786.0	883.0	1601.0	1481.0	1641.0	2204.0	1260.0	1561.0	2060.0	706.0	375.0	273.0	1069.0	429.0	626.0	1901.0	1274.0	227.0	190.0	796.0	1219.0	1367.0	1377.0	1881.0	766.0	339.0	942.0	1097.0	627.0	432.0	1327.0	1111.0	1708.0	119.0	2069.0	475.0	740.0	445.0	677.0	1199.0	319.0	484.0	812.0	1289.0	677.0	2062.0	854.0	784.0	462.0	780.0	644.0	3268.0	237.0	77438.8	1017121.0	1402578.709426
sub-CC210314_T1w	759.0	1327.0	827.0	837.0	427.0	1478.0	769.0	847.0	429.0	233.0	1721.0	1073.0	332.0	660.0	2328.0	4471.0	411.0	488.0	1363.0	1080.0	1407.0	2387.0	823.0	1425.0	1515.0	1637.0	1837.0	1475.0	1425.0	1482.0	603.0	410.0	261.0	1127.0	430.0	610.0	1358.0	1606.0	226.0	268.0	683.0	1307.0	1182.0	2274.0	2245.0	615.0	326.0	939.0	1055.0	683.0	404.0	1100.0	743.0	1916.0	391.0	1622.0	767.0	740.0	316.0	543.0	1279.0	202.0	350.0	858.0	1594.0	816.0	2036.0	890.0	704.0	486.0	610.0	880.0	3690.0	261.0	78679.0	1036794.0	1327065.308186
sub-CC210422_T1w	1119.0	1396.0	1258.0	1151.0	699.0	2110.0	1308.0	1141.0	628.0	223.0	1518.0	1189.0	383.0	1208.0	4396.0	6890.0	536.0	597.0	2072.0	1052.0	1260.0	2714.0	1246.0	2214.0	2317.0	2177.0	2908.0	1957.0	1753.0	2871.0	779.0	767.0	416.0	1739.0	638.0	579.0	2087.0	2471.0	296.0	390.0	758.0	1673.0	1438.0	2099.0	2121.0	1017.0	429.0	1136.0	1283.0	921.0	422.0	2243.0	1340.0	2819.0	387.0	2631.0	929.0	1132.0	728.0	738.0	1884.0	340.0	586.0	1235.0	1790.0	1138.0	2739.0	948.0	894.0	750.0	1029.0	1454.0	5411.0	292.0	109191.0	1389777.0	1867829.231705
sub-CC220198_T1w	932.0	1191.0	942.0	1234.0	495.0	1523.0	833.0	763.0	423.0	187.0	1509.0	825.0	304.0	616.0	2968.0	5448.0	453.0	532.0	1291.0	946.0	1194.0	2038.0	868.0	1739.0	1823.0	2003.0	2127.0	1357.0	1548.0	1788.0	774.0	529.0	410.0	1327.0	439.0	559.0	1723.0	2002.0	191.0	226.0	737.0	1283.0	1134.0	1754.0	2015.0	624.0	393.0	991.0	1195.0	782.0	443.0	1432.0	914.0	1830.0	126.0	1863.0	505.0	852.0	467.0	555.0	1315.0	211.0	511.0	950.0	1486.0	700.0	1958.0	1150.0	857.0	477.0	990.0	1021.0	4337.0	347.0	84284.0	1239338.0	1570865.347913
sub-CC310214_T1w	967.0	1026.0	807.0	1059.0	470.0	1509.0	840.0	971.0	472.0	219.0	1431.0	921.0	345.0	571.0	2661.0	4640.0	383.0	403.0	1067.0	866.0	1318.0	2262.0	786.0	1683.0	1542.0	2084.0	1722.0	1592.0	1524.0	1742.0	564.0	407.0	274.0	1267.0	442.0	974.0	1497.0	1598.0	185.0	145.0	671.0	1336.0	1280.0	1913.0	1977.0	707.0	328.0	872.0	1126.0	568.0	306.0	1332.0	1109.0	2008.0	123.0	1755.0	912.0	682.0	408.0	737.0	1334.0	178.0	452.0	948.0	1365.0	924.0	1845.0	1120.0	878.0	590.0	595.0	1183.0	3317.0	295.0	80408.3	1095432.0	1327878.146505
sub-CC310252_T1w	963.0	1435.0	1121.0	1074.0	619.0	1759.0	1021.0	1020.0	442.0	187.0	1758.0	962.0	254.0	1064.0	3447.0	5577.0	528.0	539.0	1612.0	1114.0	1516.0	2483.0	798.0	1660.0	1962.0	2554.0	1957.0	1426.0	1714.0	2543.0	672.0	358.0	360.0	1535.0	478.0	878.0	1817.0	1875.0	194.0	197.0	863.0	1547.0	1318.0	2272.0	2284.0	861.0	364.0	1104.0	1214.0	703.0	419.0	1861.0	1081.0	2163.0	361.0	2240.0	575.0	999.0	540.0	675.0	1675.0	234.0	476.0	983.0	1553.0	976.0	1746.0	1073.0	885.0	460.0	939.0	1246.0	4343.0	259.0	93764.3	1291946.0	1726509.136224
sub-CC310361_T1w	840.0	996.0	987.0	847.0	514.0	1331.0	670.0	818.0	338.0	174.0	1103.0	818.0	255.0	558.0	2728.0	5057.0	448.0	454.0	1307.0	749.0	1059.0	2071.0	735.0	1602.0	1578.0	1782.0	1730.0	1278.0	1448.0	1737.0	515.0	418.0	307.0	1140.0	354.0	584.0	1704.0	1482.0	194.0	215.0	734.0	1131.0	1001.0	1309.0	1887.0	714.0	333.0	921.0	1120.0	492.0	440.0	1235.0	750.0	1849.0	68.0	2101.0	554.0	795.0	317.0	688.0	1321.0	242.0	444.0	1130.0	1161.0	738.0	1861.0	995.0	875.0	344.0	577.0	996.0	3754.0	258.0	76062.5	1053625.0	1403724.090507
sub-CC310450_T1w	799.0	1650.0	1147.0	941.0	538.0	1579.0	758.0	843.0	439.0	237.0	1406.0	1096.0	336.0	867.0	2923.0	5412.0	577.0	500.0	1547.0	947.0	1459.0	1891.0	879.0	1819.0	1253.0	1602.0	2160.0	1638.0	1557.0	2077.0	593.0	487.0	364.0	1432.0	570.0	577.0	1471.0	1655.0	262.0	203.0	734.0	1702.0	1157.0	1537.0	2322.0	740.0	385.0	1011.0	1281.0	648.0	434.0	1659.0	821.0	2003.0	155.0	1980.0	802.0	809.0	579.0	599.0	1705.0	278.0	515.0	1062.0	1564.0	597.0	2104.0	909.0	901.0	486.0	635.0	1110.0	3853.0	278.0	85843.4	1211525.0	1688113.85372
