lh.aparc.a2009s.thickness,lh_G_and_S_frontomargin_thickness,lh_G_and_S_occipital_inf_thickness,lh_G_and_S_paracentral_thickness,lh_G_and_S_subcentral_thickness,lh_G_and_S_transv_frontopol_thickness,lh_G_and_S_cingul-Ant_thickness,lh_G_and_S_cingul-Mid-Ant_thickness,lh_G_and_S_cingul-Mid-Post_thickness,lh_G_cingul-Post-dorsal_thickness,lh_G_cingul-Post-ventral_thickness,lh_G_cuneus_thickness,lh_G_front_inf-Opercular_thickness,lh_G_front_inf-Orbital_thickness,lh_G_front_inf-Triangul_thickness,lh_G_front_middle_thickness,lh_G_front_sup_thickness,lh_G_Ins_lg_and_S_cent_ins_thickness,lh_G_insular_short_thickness,lh_G_occipital_middle_thickness,lh_G_occipital_sup_thickness,lh_G_oc-temp_lat-fusifor_thickness,lh_G_oc-temp_med-Lingual_thickness,lh_G_oc-temp_med-Parahip_thickness,lh_G_orbital_thickness,lh_G_pariet_inf-Angular_thickness,lh_G_pariet_inf-Supramar_thickness,lh_G_parietal_sup_thickness,lh_G_postcentral_thickness,lh_G_precentral_thickness,lh_G_precuneus_thickness,lh_G_rectus_thickness,lh_G_subcallosal_thickness,lh_G_temp_sup-G_T_transv_thickness,lh_G_temp_sup-Lateral_thickness,lh_G_temp_sup-Plan_polar_thickness,lh_G_temp_sup-Plan_tempo_thickness,lh_G_temporal_inf_thickness,lh_G_temporal_middle_thickness,lh_Lat_Fis-ant-Horizont_thickness,lh_Lat_Fis-ant-Vertical_thickness,lh_Lat_Fis-post_thickness,lh_Pole_occipital_thickness,lh_Pole_temporal_thickness,lh_S_calcarine_thickness,lh_S_central_thickness,lh_S_cingul-Marginalis_thickness,lh_S_circular_insula_ant_thickness,lh_S_circular_insula_inf_thickness,lh_S_circular_insula_sup_thickness,lh_S_collat_transv_ant_thickness,lh_S_collat_transv_post_thickness,lh_S_front_inf_thickness,lh_S_front_middle_thickness,lh_S_front_sup_thickness,lh_S_interm_prim-Jensen_thickness,lh_S_intrapariet_and_P_trans_thickness,lh_S_oc_middle_and_Lunatus_thickness,lh_S_oc_sup_and_transversal_thickness,lh_S_occipital_ant_thickness,lh_S_oc-temp_lat_thickness,lh_S_oc-temp_med_and_Lingual_thickness,lh_S_orbital_lateral_thickness,lh_S_orbital_med-olfact_thickness,lh_S_orbital-H_Shaped_thickness,lh_S_parieto_occipital_thickness,lh_S_pericallosal_thickness,lh_S_postcentral_thickness,lh_S_precentral-inf-part_thickness,lh_S_precentral-sup-part_thickness,lh_S_suborbital_thickness,lh_S_subparietal_thickness,lh_S_temporal_inf_thickness,lh_S_temporal_sup_thickness,lh_S_temporal_transverse_thickness,lh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
sub-CC120218_T1w,2.512,2.78,2.605,2.943,2.726,2.772,2.7,2.65,2.985,2.962,1.94,2.909,3.054,2.843,2.877,3.089,3.374,3.69,2.83,2.624,2.971,2.091,3.28,2.977,3.221,2.955,2.812,2.747,3.208,2.902,2.69,2.521,2.725,3.321,3.158,2.76,3.17,3.583,1.956,2.554,2.557,2.375,3.427,1.982,2.14,2.442,2.851,2.749,2.674,2.787,2.332,2.333,2.37,2.542,2.772,2.472,2.303,2.508,2.54,2.662,2.706,2.041,2.423,2.759,2.369,1.434,2.503,2.583,2.817,2.331,2.482,2.905,2.719,2.514,2.70741,1052329.0,1446273.042561
sub-CC210023_T1w,2.383,2.483,2.499,2.668,2.643,2.683,2.586,2.62,2.727,2.364,1.579,2.905,2.918,2.652,2.823,2.845,3.125,3.6,2.42,1.908,2.935,1.911,2.726,2.749,2.674,2.621,2.262,2.221,2.934,2.543,2.647,2.779,2.41,3.181,3.606,2.605,3.073,3.104,2.22,2.698,2.539,1.948,3.54,1.685,1.818,2.343,2.676,2.901,2.601,3.106,2.16,2.358,2.272,2.547,2.47,2.157,1.881,1.958,2.27,2.717,2.258,2.973,2.401,2.986,2.147,1.374,2.12,2.564,2.611,2.003,2.289,2.695,2.5,2.346,2.52497,1144828.0,1567278.711264
sub-CC210088_T1w,2.578,2.656,2.559,2.947,2.569,2.78,2.629,2.61,2.785,2.563,1.725,3.068,2.925,2.855,2.836,3.058,3.171,3.805,2.678,2.426,3.103,2.057,2.943,2.821,2.815,3.092,2.537,2.439,3.107,2.692,2.67,2.309,2.866,3.456,3.49,2.72,2.953,3.025,2.14,2.262,2.897,2.143,3.312,1.902,2.079,2.429,3.203,2.721,2.834,2.518,1.904,2.328,2.444,2.622,3.005,2.32,2.092,2.327,2.233,2.537,2.48,2.253,2.366,2.844,2.396,1.529,2.288,2.699,2.717,2.3,2.553,2.561,2.548,2.903,2.64248,1017121.0,1402578.709426
sub-CC210314_T1w,2.295,2.54,2.887,3.037,2.972,2.742,2.831,2.653,2.863,3.049,2.114,2.868,2.941,2.773,2.788,2.936,3.21,3.513,2.862,2.338,2.867,2.082,3.338,2.967,2.845,2.885,2.56,2.591,3.065,2.766,2.718,2.642,2.719,3.309,3.402,2.805,3.024,3.258,2.011,2.183,2.73,1.989,3.419,2.045,2.245,2.348,2.81,3.066,2.54,3.027,2.13,2.338,2.359,2.549,2.471,2.309,2.336,2.446,2.589,2.528,2.348,2.098,2.525,2.933,2.319,1.679,2.391,2.598,2.792,2.149,2.152,2.516,2.56,2.448,2.63586,1036794.0,1327065.308186
sub-CC210422_T1w,2.154,2.558,2.254,2.759,2.409,2.591,2.617,2.55,2.853,2.484,2.023,2.882,2.78,2.606,2.453,2.663,3.223,3.527,2.447,2.177,2.512,2.012,3.057,2.563,2.633,2.958,2.463,2.214,2.715,2.465,2.425,2.368,2.79,3.02,3.487,2.725,2.837,2.956,2.247,2.414,2.602,1.962,3.065,2.028,1.825,2.247,2.702,2.584,2.785,2.368,1.975,2.334,2.108,2.443,2.361,2.2,2.012,2.23,2.394,2.332,2.347,1.978,2.274,2.536,2.247,1.835,2.26,2.498,2.592,2.243,2.337,2.569,2.531,2.451,2.47754,1389777.0,1867829.231705
sub-CC220198_T1w,2.081,2.813,2.541,2.946,2.827,2.782,2.647,2.775,3.095,3.104,2.035,2.696,2.759,2.889,2.835,2.874,3.181,3.475,2.826,2.249,2.909,2.155,3.165,2.617,2.978,2.877,2.419,2.455,3.201,2.69,2.277,2.421,2.943,3.432,3.673,2.707,3.39,3.077,2.296,2.418,2.896,2.099,3.668,2.029,1.984,2.37,2.668,3.173,2.695,3.051,2.155,2.337,2.325,2.591,2.94,2.31,2.056,2.161,2.601,2.712,2.47,2.596,2.173,2.672,2.319,1.98,2.183,2.776,2.72,1.96,2.281,2.9,2.642,2.874,2.65384,1239338.0,1570865.347913
sub-CC310214_T1w,2.406,2.413,2.324,2.539,2.894,2.548,2.685,2.579,2.851,2.538,1.832,2.741,2.805,2.753,2.67,2.893,3.18,3.59,2.671,1.995,2.822,1.928,3.465,2.717,2.8,2.535,2.348,2.414,3.043,2.472,2.426,2.398,2.486,3.067,3.479,2.487,3.038,3.208,2.326,2.575,2.323,1.824,3.522,1.776,1.811,2.194,2.922,2.795,2.477,2.983,2.032,2.24,2.236,2.541,2.677,2.1,1.857,2.146,2.345,2.531,2.631,2.094,2.542,2.437,2.272,1.564,2.029,2.603,2.559,2.207,2.329,2.786,2.549,2.033,2.50346,1095432.0,1327878.146505
sub-CC310252_T1w,1.968,2.658,2.461,2.785,2.979,2.484,2.769,2.569,2.802,2.753,1.848,2.983,2.615,2.505,2.632,2.821,3.179,3.287,2.72,2.213,2.93,1.958,3.088,2.578,2.845,2.825,2.497,2.348,3.085,2.465,2.546,2.226,2.754,3.442,3.464,2.846,2.974,3.312,1.762,2.162,2.428,2.12,3.447,1.882,2.188,2.169,2.673,3.038,2.496,2.794,2.065,2.226,1.991,2.504,2.24,2.132,2.087,2.185,2.46,2.655,2.515,1.778,2.186,2.349,2.24,1.536,2.234,2.495,2.47,1.853,2.313,2.575,2.57,2.464,2.53784,1291946.0,1726509.136224
sub-CC310361_T1w,2.484,2.402,2.621,2.775,2.623,2.824,2.609,2.665,2.727,2.112,1.684,2.833,2.803,2.882,2.806,3.004,3.26,3.5,2.684,2.46,3.02,1.966,2.944,2.803,2.927,3.02,2.598,2.182,3.126,2.66,2.561,2.62,2.43,3.348,3.331,2.853,3.072,3.221,2.39,2.401,2.372,2.07,3.454,1.909,2.027,2.501,2.669,2.743,2.684,2.717,2.022,2.366,2.308,2.627,2.875,2.265,2.156,2.221,2.034,2.522,2.444,2.226,2.215,2.611,2.34,1.535,2.404,2.544,2.56,2.126,2.529,2.549,2.521,2.374,2.60305,1053625.0,1403724.090507
sub-CC310450_T1w,2.235,2.658,2.36,2.821,2.444,2.543,2.578,2.435,2.71,2.779,1.807,2.713,2.928,2.758,2.706,2.824,2.641,3.561,2.727,2.582,2.961,2.021,3.238,2.738,2.733,2.906,2.585,2.505,3.008,2.55,2.609,2.146,2.905,3.329,3.363,2.603,3.197,3.195,2.27,2.15,2.474,2.123,3.56,2.02,2.067,2.211,2.789,2.744,2.6,2.766,1.964,2.46,2.267,2.523,2.976,2.314,2.147,2.195,2.518,2.74,2.468,2.071,2.325,2.435,2.298,1.571,2.442,2.615,2.401,2.015,2.126,2.701,2.577,2.557,2.57885,1211525.0,1688113.85372
sub-CC310463_T1w,2.362,2.646,2.479,2.809,2.442,2.835,2.794,2.688,2.891,2.739,1.771,2.793,2.943,2.706,2.742,2.96,2.971,3.47,2.715,2.199,3.039,1.942,2.857,2.826,2.592,2.919,2.459,2.223,2.862,2.532,2.511,2.768,2.521,3.323,3.423,2.702,3.08,3.341,2.478,2.642,2.483,2.064,3.443,1.75,1.882,2.244,2.467,2.778,2.58,3.042,1.913,2.262,2.187,2.533,2.498,2.244,2.098,2.291,2.223,2.735,2.582,2.047,2.368,2.768,2.26,1.812,2.216,2.5,2.545,2.478,2.283,2.648,2.69,1.937,2.5813,1282716.0,1701354.114003
sub-CC312058_T1w,2.409,2.423,2.179,2.756,2.398,2.745,2.622,2.587,2.746,2.79,1.761,2.808,2.672,2.674,2.599,2.744,2.93,3.558,2.409,2.057,2.916,1.736,3.211,2.665,2.613,2.732,2.284,2.193,2.914,2.413,2.507,2.405,2.61,3.042,3.572,2.862,2.939,3.023,2.034,2.518,2.374,1.799,3.297,1.723,2.055,2.276,3.092,2.935,2.645,2.599,1.79,2.325,2.165,2.4,2.174,2.124,1.973,2.152,2.361,2.565,2.263,2.374,2.445,2.535,2.26,1.737,2.065,2.436,2.403,2.051,2.338,2.471,2.475,2.558,2.47471,1299830.0,1685720.722998
sub-CC312222_T1w,2.655,2.33,2.417,2.858,2.641,2.673,2.476,2.556,2.951,2.48,1.733,2.865,2.752,2.755,2.74,2.808,3.097,3.476,2.469,2.308,2.653,1.787,3.13,2.799,2.83,2.745,2.453,2.141,3.025,2.607,2.581,2.349,2.394,2.976,3.38,2.556,3.006,3.048,2.185,2.481,2.319,1.885,3.356,1.773,1.974,2.241,2.585,2.819,2.654,2.907,2.089,2.317,2.466,2.601,2.306,2.245,2.154,2.288,2.252,2.648,2.417,2.555,2.306,2.626,2.31,1.36,2.042,2.695,2.535,2.351,2.428,2.415,2.64,2.116,2.52091,1185389.0,1519341.093139
sub-CC320107_T1w,2.344,2.597,2.489,2.648,2.628,2.741,2.666,2.356,2.689,2.4,1.972,2.886,2.794,2.719,2.623,2.795,2.886,3.506,2.778,2.239,2.763,2.013,3.144,2.877,2.775,2.884,2.341,2.122,2.771,2.583,2.771,2.433,2.641,3.297,3.403,2.495,2.961,3.289,2.37,2.286,2.759,1.983,3.303,1.983,1.803,2.414,2.823,2.736,2.598,2.511,2.047,2.575,2.409,2.493,3.104,2.236,2.043,2.464,2.407,2.479,2.492,2.277,2.609,2.789,2.22,1.377,2.236,2.487,2.652,2.185,2.306,2.453,2.711,2.256,2.5387,1150105.0,1636166.5741
sub-CC320321_T1w,2.194,2.305,2.129,2.512,2.783,2.939,2.625,2.577,2.61,2.55,1.935,2.572,2.009,2.455,2.586,2.768,3.399,3.683,2.469,2.425,2.711,2.08,2.875,2.507,2.54,2.821,2.31,2.0,2.743,2.466,2.443,2.267,2.441,2.698,3.112,2.59,2.702,2.907,2.476,2.322,2.35,1.917,3.093,1.878,1.861,2.25,2.512,2.551,2.468,2.453,2.18,2.063,2.369,2.54,2.115,2.226,1.998,2.205,2.037,2.067,2.37,2.182,2.106,2.249,2.24,1.639,2.044,2.516,2.219,2.755,2.35,2.306,2.409,2.462,2.41991,958715.0,1337630.62701
sub-CC320325_T1w,2.417,2.235,2.506,2.699,2.51,2.624,2.723,2.45,2.74,2.847,1.763,2.802,2.835,2.527,2.605,2.729,3.006,3.411,2.646,2.429,2.864,1.946,3.283,2.835,2.773,2.664,2.514,2.43,2.755,2.556,2.558,2.585,2.705,3.169,3.244,2.565,2.999,3.155,2.205,2.325,2.466,2.094,3.122,1.766,1.976,2.277,2.843,2.879,2.492,2.701,2.038,2.075,2.064,2.419,2.762,2.146,1.921,2.186,2.13,2.427,2.367,2.097,2.336,2.731,2.128,1.885,2.312,2.404,2.23,2.199,2.251,2.612,2.512,2.424,2.50542,1067405.0,1517136.318686
