rh.aparc.a2009s.area,rh_G_and_S_frontomargin_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_paracentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-ventral_area,rh_G_cuneus_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Triangul_area,rh_G_front_middle_area,rh_G_front_sup_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_insular_short_area,rh_G_occipital_middle_area,rh_G_occipital_sup_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Parahip_area,rh_G_orbital_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Supramar_area,rh_G_parietal_sup_area,rh_G_postcentral_area,rh_G_precentral_area,rh_G_precuneus_area,rh_G_rectus_area,rh_G_subcallosal_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temporal_inf_area,rh_G_temporal_middle_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-post_area,rh_Pole_occipital_area,rh_Pole_temporal_area,rh_S_calcarine_area,rh_S_central_area,rh_S_cingul-Marginalis_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_sup_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_post_area,rh_S_front_inf_area,rh_S_front_middle_area,rh_S_front_sup_area,rh_S_interm_prim-Jensen_area,rh_S_intrapariet_and_P_trans_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_sup_and_transversal_area,rh_S_occipital_ant_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_orbital_lateral_area,rh_S_orbital_med-olfact_area,rh_S_orbital-H_Shaped_area,rh_S_parieto_occipital_area,rh_S_pericallosal_area,rh_S_postcentral_area,rh_S_precentral-inf-part_area,rh_S_precentral-sup-part_area,rh_S_suborbital_area,rh_S_subparietal_area,rh_S_temporal_inf_area,rh_S_temporal_sup_area,rh_S_temporal_transverse_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-CC120218_T1w,531.0,777.0,803.0,926.0,732.0,1756.0,836.0,868.0,300.0,189.0,1500.0,974.0,298.0,631.0,2515.0,4319.0,361.0,361.0,1168.0,1181.0,1008.0,1677.0,781.0,1424.0,1511.0,1365.0,1340.0,1192.0,1736.0,1211.0,552.0,361.0,205.0,1124.0,476.0,576.0,1577.0,1632.0,201.0,119.0,887.0,2312.0,1127.0,1847.0,2151.0,767.0,349.0,732.0,754.0,617.0,212.0,1183.0,1194.0,1796.0,271.0,1604.0,626.0,929.0,397.0,758.0,1284.0,236.0,348.0,633.0,1383.0,875.0,1139.0,1130.0,820.0,185.0,564.0,761.0,3558.0,222.0,74745.4,1052329.0,1446273.042561
sub-CC210023_T1w,663.0,1099.0,813.0,1240.0,867.0,2011.0,1211.0,1246.0,396.0,230.0,1221.0,962.0,339.0,664.0,3106.0,4827.0,398.0,447.0,1287.0,1051.0,1389.0,1784.0,1057.0,1823.0,2199.0,2115.0,1417.0,1313.0,2013.0,1704.0,654.0,398.0,308.0,1384.0,653.0,785.0,1717.0,1881.0,202.0,165.0,1017.0,2080.0,1285.0,1174.0,2062.0,848.0,418.0,786.0,1039.0,697.0,389.0,1508.0,1528.0,1924.0,500.0,1942.0,714.0,725.0,577.0,754.0,1319.0,377.0,578.0,898.0,1602.0,1249.0,1542.0,1020.0,1251.0,308.0,1004.0,883.0,4416.0,172.0,87627.0,1144828.0,1567278.711264
sub-CC210088_T1w,592.0,806.0,757.0,1000.0,761.0,1822.0,935.0,937.0,405.0,193.0,1385.0,786.0,311.0,567.0,2299.0,4329.0,468.0,437.0,1494.0,1167.0,1190.0,1734.0,672.0,1622.0,1749.0,1527.0,1468.0,1060.0,1585.0,1861.0,569.0,301.0,219.0,1076.0,524.0,650.0,1453.0,1719.0,281.0,142.0,963.0,2327.0,1434.0,1377.0,1732.0,836.0,406.0,737.0,827.0,432.0,234.0,1147.0,1627.0,1615.0,317.0,2164.0,608.0,1043.0,420.0,727.0,1395.0,264.0,403.0,666.0,1645.0,920.0,1287.0,897.0,970.0,109.0,958.0,604.0,3101.0,162.0,77205.1,1017121.0,1402578.709426
sub-CC210314_T1w,584.0,864.0,749.0,870.0,839.0,1902.0,908.0,928.0,393.0,222.0,1907.0,999.0,280.0,653.0,2053.0,3699.0,334.0,451.0,1467.0,1276.0,1300.0,2446.0,878.0,1613.0,1819.0,1467.0,1359.0,1446.0,1534.0,1293.0,485.0,336.0,221.0,1104.0,370.0,570.0,1054.0,1780.0,275.0,114.0,840.0,2573.0,945.0,2249.0,2013.0,807.0,355.0,805.0,856.0,756.0,315.0,1140.0,1342.0,1404.0,234.0,1941.0,805.0,972.0,536.0,603.0,1326.0,307.0,383.0,850.0,1353.0,984.0,1716.0,1008.0,850.0,215.0,721.0,810.0,4173.0,207.0,79234.6,1036794.0,1327065.308186
sub-CC210422_T1w,835.0,911.0,985.0,1420.0,1064.0,2923.0,1339.0,1249.0,600.0,230.0,1804.0,1569.0,317.0,915.0,3576.0,5380.0,535.0,580.0,1889.0,1085.0,1446.0,2604.0,1493.0,2526.0,2723.0,2311.0,2832.0,1599.0,1846.0,2681.0,855.0,383.0,285.0,1431.0,718.0,656.0,2244.0,2649.0,335.0,213.0,1045.0,2528.0,1483.0,2244.0,2296.0,1004.0,377.0,789.0,1034.0,1140.0,463.0,2502.0,1805.0,1899.0,382.0,3189.0,829.0,1074.0,646.0,955.0,1520.0,362.0,620.0,1206.0,2001.0,1299.0,2256.0,1276.0,1152.0,388.0,1513.0,1328.0,4869.0,283.0,108792.0,1389777.0,1867829.231705
sub-CC220198_T1w,742.0,885.0,836.0,1085.0,967.0,1866.0,791.0,856.0,408.0,169.0,1588.0,800.0,275.0,600.0,2643.0,5167.0,345.0,651.0,1440.0,906.0,1463.0,2299.0,746.0,2018.0,1989.0,1845.0,1676.0,1320.0,1646.0,1808.0,536.0,418.0,303.0,1267.0,576.0,629.0,1301.0,2036.0,243.0,222.0,1004.0,2367.0,1366.0,1847.0,1977.0,844.0,435.0,803.0,985.0,638.0,399.0,1122.0,1384.0,1807.0,210.0,2508.0,619.0,756.0,611.0,951.0,1358.0,331.0,566.0,951.0,1442.0,945.0,1749.0,1139.0,1106.0,190.0,1024.0,858.0,4588.0,218.0,86460.5,1239338.0,1570865.347913
sub-CC310214_T1w,520.0,971.0,824.0,901.0,660.0,2083.0,1013.0,1061.0,474.0,190.0,1450.0,852.0,260.0,685.0,2687.0,4363.0,367.0,486.0,1636.0,841.0,1621.0,2124.0,802.0,1674.0,1895.0,1280.0,1436.0,1496.0,1647.0,1645.0,540.0,389.0,199.0,984.0,541.0,441.0,1890.0,1964.0,219.0,177.0,755.0,2337.0,1396.0,1697.0,1950.0,968.0,333.0,717.0,799.0,854.0,376.0,1226.0,1727.0,1853.0,214.0,1987.0,581.0,879.0,549.0,697.0,1293.0,190.0,457.0,868.0,1124.0,1076.0,1750.0,1194.0,959.0,218.0,695.0,979.0,3736.0,192.0,81914.2,1095432.0,1327878.146505
sub-CC310252_T1w,715.0,955.0,831.0,957.0,894.0,2136.0,984.0,998.0,557.0,226.0,1731.0,1151.0,289.0,687.0,2894.0,5244.0,405.0,509.0,1971.0,1240.0,1431.0,2463.0,718.0,1825.0,2605.0,1723.0,1602.0,1207.0,1738.0,1784.0,611.0,424.0,281.0,1269.0,615.0,791.0,2162.0,2345.0,279.0,75.0,933.0,2731.0,1192.0,1950.0,2190.0,913.0,413.0,824.0,997.0,548.0,405.0,1529.0,1857.0,2032.0,402.0,2343.0,840.0,1118.0,561.0,853.0,1610.0,386.0,514.0,928.0,1796.0,1145.0,1746.0,1206.0,967.0,229.0,1234.0,1036.0,4966.0,272.0,93989.5,1291946.0,1726509.136224
sub-CC310361_T1w,668.0,708.0,904.0,821.0,755.0,1810.0,827.0,854.0,359.0,209.0,1395.0,871.0,333.0,451.0,2445.0,4341.0,398.0,417.0,1294.0,778.0,1025.0,2066.0,694.0,2112.0,1622.0,1735.0,1405.0,1024.0,1306.0,1394.0,539.0,278.0,268.0,1118.0,543.0,571.0,1702.0,1702.0,173.0,160.0,896.0,1972.0,1123.0,1424.0,1766.0,865.0,386.0,719.0,907.0,469.0,395.0,1209.0,1236.0,1843.0,218.0,2217.0,600.0,829.0,508.0,632.0,1350.0,419.0,503.0,884.0,1269.0,651.0,1657.0,965.0,827.0,242.0,772.0,825.0,3751.0,232.0,76639.1,1053625.0,1403724.090507
sub-CC310450_T1w,686.0,830.0,909.0,945.0,705.0,1881.0,932.0,933.0,395.0,191.0,1640.0,910.0,269.0,841.0,2587.0,4711.0,412.0,505.0,1329.0,1218.0,1118.0,2080.0,956.0,2071.0,1994.0,1766.0,1823.0,1438.0,1566.0,1762.0,679.0,383.0,309.0,1509.0,596.0,513.0,2033.0,2236.0,276.0,237.0,872.0,2439.0,1283.0,1654.0,2087.0,910.0,359.0,904.0,871.0,719.0,411.0,1555.0,1405.0,2035.0,210.0,2136.0,453.0,849.0,539.0,673.0,1388.0,322.0,575.0,1049.0,1807.0,916.0,1843.0,981.0,871.0,282.0,679.0,1042.0,4363.0,261.0,86914.3,1211525.0,1688113.85372
sub-CC310463_T1w,566.0,1001.0,1033.0,1165.0,871.0,1998.0,966.0,1180.0,395.0,211.0,1689.0,853.0,300.0,733.0,3205.0,5034.0,462.0,497.0,1768.0,1180.0,1404.0,2034.0,990.0,2004.0,1870.0,2117.0,2207.0,1400.0,1648.0,2078.0,542.0,447.0,250.0,1599.0,674.0,608.0,2252.0,2410.0,289.0,200.0,1132.0,2720.0,1750.0,1885.0,2003.0,1119.0,445.0,977.0,1038.0,1007.0,364.0,1717.0,1541.0,1852.0,329.0,2758.0,850.0,868.0,621.0,863.0,1423.0,314.0,456.0,775.0,1820.0,1120.0,2172.0,1330.0,729.0,256.0,862.0,1274.0,4535.0,192.0,95228.3,1282716.0,1701354.114003
