rh.aparc.a2009s.thickness	rh_G_and_S_frontomargin_thickness	rh_G_and_S_occipital_inf_thickness	rh_G_and_S_paracentral_thickness	rh_G_and_S_subcentral_thickness	rh_G_and_S_transv_frontopol_thickness	rh_G_and_S_cingul-Ant_thickness	rh_G_and_S_cingul-Mid-Ant_thickness	rh_G_and_S_cingul-Mid-Post_thickness	rh_G_cingul-Post-dorsal_thickness	rh_G_cingul-Post-ventral_thickness	rh_G_cuneus_thickness	rh_G_front_inf-Opercular_thickness	rh_G_front_inf-Orbital_thickness	rh_G_front_inf-Triangul_thickness	rh_G_front_middle_thickness	rh_G_front_sup_thickness	rh_G_Ins_lg_and_S_cent_ins_thickness	rh_G_insular_short_thickness	rh_G_occipital_middle_thickness	rh_G_occipital_sup_thickness	rh_G_oc-temp_lat-fusifor_thickness	rh_G_oc-temp_med-Lingual_thickness	rh_G_oc-temp_med-Parahip_thickness	rh_G_orbital_thickness	rh_G_pariet_inf-Angular_thickness	rh_G_pariet_inf-Supramar_thickness	rh_G_parietal_sup_thickness	rh_G_postcentral_thickness	rh_G_precentral_thickness	rh_G_precuneus_thickness	rh_G_rectus_thickness	rh_G_subcallosal_thickness	rh_G_temp_sup-G_T_transv_thickness	rh_G_temp_sup-Lateral_thickness	rh_G_temp_sup-Plan_polar_thickness	rh_G_temp_sup-Plan_tempo_thickness	rh_G_temporal_inf_thickness	rh_G_temporal_middle_thickness	rh_Lat_Fis-ant-Horizont_thickness	rh_Lat_Fis-ant-Vertical_thickness	rh_Lat_Fis-post_thickness	rh_Pole_occipital_thickness	rh_Pole_temporal_thickness	rh_S_calcarine_thickness	rh_S_central_thickness	rh_S_cingul-Marginalis_thickness	rh_S_circular_insula_ant_thickness	rh_S_circular_insula_inf_thickness	rh_S_circular_insula_sup_thickness	rh_S_collat_transv_ant_thickness	rh_S_collat_transv_post_thickness	rh_S_front_inf_thickness	rh_S_front_middle_thickness	rh_S_front_sup_thickness	rh_S_interm_prim-Jensen_thickness	rh_S_intrapariet_and_P_trans_thickness	rh_S_oc_middle_and_Lunatus_thickness	rh_S_oc_sup_and_transversal_thickness	rh_S_occipital_ant_thickness	rh_S_oc-temp_lat_thickness	rh_S_oc-temp_med_and_Lingual_thickness	rh_S_orbital_lateral_thickness	rh_S_orbital_med-olfact_thickness	rh_S_orbital-H_Shaped_thickness	rh_S_parieto_occipital_thickness	rh_S_pericallosal_thickness	rh_S_postcentral_thickness	rh_S_precentral-inf-part_thickness	rh_S_precentral-sup-part_thickness	rh_S_suborbital_thickness	rh_S_subparietal_thickness	rh_S_temporal_inf_thickness	rh_S_temporal_sup_thickness	rh_S_temporal_transverse_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-CC120218_T1w	2.663	2.787	2.599	3.023	2.756	2.654	2.805	2.759	3.167	2.991	1.925	3.053	2.811	3.063	2.743	3.05	3.642	3.521	2.855	2.445	3.069	2.293	3.274	3.044	2.93	3.087	2.731	2.633	3.004	2.717	2.693	2.333	2.679	3.377	3.174	2.863	3.225	3.397	2.267	3.026	2.596	2.09	3.538	2.148	2.112	2.388	3.156	2.878	2.77	2.701	2.094	2.324	2.2	2.404	2.531	2.445	2.362	2.411	2.593	2.598	2.712	2.582	2.307	2.996	2.4	1.541	2.513	2.631	2.778	2.376	2.51	2.691	2.738	2.817	2.69282	1052329.0	1446273.042561
sub-CC210023_T1w	2.678	2.485	2.37	2.69	2.464	2.545	2.548	2.451	2.683	2.348	1.739	3.011	2.648	2.641	2.655	2.852	3.265	3.547	2.5	2.047	2.958	1.802	3.081	2.889	2.559	2.787	2.404	2.26	2.877	2.516	2.754	2.558	2.639	2.976	3.108	2.711	3.186	3.102	2.23	2.766	2.407	1.997	3.233	1.72	1.826	2.331	2.688	2.691	2.721	2.576	2.082	2.347	2.33	2.493	2.192	2.161	1.923	2.143	2.151	2.68	2.257	2.334	2.316	2.789	2.023	1.565	2.144	2.593	2.51	2.267	2.365	2.434	2.599	2.801	2.51157	1144828.0	1567278.711264
sub-CC210088_T1w	2.683	2.815	2.626	3.1	2.494	2.625	2.749	2.705	2.945	2.869	1.954	3.019	2.819	2.766	2.705	2.912	3.193	3.856	2.8	2.545	3.106	2.059	3.056	3.052	2.798	3.038	2.533	2.338	3.066	2.656	2.628	2.657	2.676	3.428	3.07	2.928	2.881	3.198	2.011	2.85	2.682	2.143	3.197	1.992	2.061	2.201	2.928	2.856	2.809	2.639	2.367	2.275	2.146	2.502	2.513	2.298	2.279	2.51	2.514	2.464	2.504	1.984	2.422	2.801	2.313	1.741	2.235	2.655	2.737	2.242	2.376	2.8	2.743	2.707	2.63287	1017121.0	1402578.709426
sub-CC210314_T1w	2.44	2.482	2.763	2.993	2.538	2.621	2.709	2.551	2.82	3.126	2.183	2.917	3.009	2.73	2.771	2.959	3.814	3.481	2.71	2.263	2.814	2.215	3.314	3.019	2.927	2.823	2.698	2.622	3.097	2.707	2.664	2.522	3.064	3.462	3.539	2.998	2.963	3.113	2.136	2.479	2.623	2.005	3.679	2.193	2.274	2.341	2.611	2.744	2.74	2.774	2.421	2.278	2.09	2.503	2.233	2.296	2.224	2.331	2.561	2.575	2.505	2.081	2.277	2.803	2.272	1.639	2.295	2.463	2.676	2.069	2.449	2.619	2.595	2.667	2.61152	1036794.0	1327065.308186
sub-CC210422_T1w	2.545	2.937	2.296	2.663	2.358	2.523	2.552	2.636	2.737	2.238	1.913	2.734	2.58	2.548	2.565	2.643	3.353	3.239	2.671	2.415	2.681	2.103	3.326	2.693	2.585	2.859	2.299	2.232	2.944	2.468	2.436	2.766	2.785	3.039	3.493	2.48	2.917	2.83	2.388	2.368	2.518	2.209	2.978	1.952	1.905	2.247	2.735	2.895	2.667	2.569	2.316	2.337	2.142	2.435	2.514	2.172	2.213	2.211	2.542	2.461	2.355	2.178	2.085	2.325	2.297	1.508	2.121	2.479	2.488	2.075	2.336	2.572	2.553	2.96	2.48912	1389777.0	1867829.231705
sub-CC220198_T1w	2.346	3.035	2.711	2.958	2.65	2.733	2.885	2.618	2.957	2.78	1.923	2.962	2.821	2.691	2.52	2.898	3.525	2.962	2.735	2.384	3.045	2.376	3.153	2.781	2.848	2.981	2.562	2.543	3.019	2.576	2.66	2.219	2.872	3.352	3.512	2.755	3.172	3.135	2.262	2.363	2.761	2.142	3.404	1.99	2.002	2.464	2.964	3.251	2.746	2.711	2.387	2.064	2.011	2.403	2.526	2.274	2.259	2.286	2.575	2.623	2.563	2.145	2.149	2.564	2.388	1.811	2.259	2.459	2.523	2.12	2.597	2.467	2.573	3.157	2.61768	1239338.0	1570865.347913
sub-CC310214_T1w	2.675	2.586	2.307	2.482	2.794	2.484	2.665	2.538	2.614	2.653	2.056	2.682	2.735	2.711	2.673	2.789	3.357	3.222	2.727	2.333	2.9	2.156	3.124	3.115	2.681	2.732	2.341	2.442	3.059	2.536	2.365	2.685	2.591	2.98	3.318	2.52	2.774	3.225	2.063	2.165	2.389	1.827	3.384	1.941	1.979	2.301	2.838	2.696	2.661	2.643	2.157	2.301	2.323	2.374	2.251	2.134	2.251	2.087	2.285	2.466	2.255	2.293	2.675	2.532	2.311	1.422	2.164	2.448	2.362	2.135	2.333	2.5	2.526	2.471	2.51135	1095432.0	1327878.146505
sub-CC310252_T1w	2.113	2.757	2.363	2.795	2.525	2.325	2.771	2.569	2.994	2.531	1.823	2.528	2.688	2.304	2.565	2.83	3.789	3.253	2.785	2.352	2.978	2.179	3.167	2.766	2.692	2.765	2.532	2.532	2.852	2.603	2.61	2.607	2.68	3.345	3.522	2.881	3.012	3.003	2.034	2.242	2.691	1.873	3.668	1.804	2.174	2.282	2.484	2.942	2.569	3.15	2.364	2.071	1.895	2.443	1.951	2.15	2.2	2.35	2.383	2.712	2.496	2.315	1.918	2.216	2.38	1.509	2.124	2.157	2.43	2.229	2.39	2.637	2.568	2.837	2.517	1291946.0	1726509.136224
sub-CC310361_T1w	2.343	2.757	2.466	2.742	2.561	2.637	2.728	2.53	2.857	2.608	1.899	2.756	2.844	2.528	2.691	2.964	3.536	3.625	2.774	2.224	2.967	2.026	2.889	2.752	2.909	2.993	2.616	1.994	3.217	2.73	2.714	2.513	2.307	3.397	3.259	2.815	3.117	3.306	1.724	2.407	2.585	2.045	3.459	1.764	1.888	2.313	2.765	2.822	2.771	2.95	1.955	2.36	2.218	2.501	2.521	2.253	2.503	2.176	2.382	2.397	2.522	2.081	2.202	2.486	2.236	1.424	2.247	2.618	2.607	2.253	2.392	2.748	2.624	2.312	2.58361	1053625.0	1403724.090507
sub-CC310450_T1w	2.367	2.713	2.462	2.655	2.49	2.583	2.822	2.551	2.711	2.456	1.845	2.754	2.705	2.775	2.61	2.862	3.42	3.119	2.657	2.437	2.89	2.077	3.171	2.649	2.577	2.77	2.505	2.362	2.954	2.51	2.537	2.529	2.599	2.964	2.985	2.681	2.961	2.972	2.255	2.465	2.562	1.979	3.209	2.058	2.091	2.276	2.773	2.725	2.604	2.572	2.281	2.353	2.207	2.485	2.436	2.245	2.139	2.243	2.393	2.651	2.371	2.307	2.14	2.354	2.262	1.532	2.111	2.459	2.449	2.318	2.273	2.384	2.547	2.324	2.51537	1211525.0	1688113.85372
