,feature
rh_S_front_sup_area,9
lh_G&S_frontomargin_thickness,9
lh_S_precentral-sup-part_area,9
lh_S_pericallosal_thickness,8
rh_G_occipital_sup_thickness,8
rh_G_rectus_thickness,7
lh_Pole_temporal_area,7
rh_S_collat_transv_post_thickness,7
lh_G_temporal_inf_area,6
rh_Lat_Fis-post_thickness,5
lh_G_temp_sup-Lateral_area,4
rh_S_orbital_lateral_thickness,4
lh_S_temporal_inf_area,4
rh_S_intrapariet&P_trans_area,4
lh_G_precentral_area,4
rh_S_circular_insula_ant_thickness,4
lh_G_insular_short_area,3
lh_S_calcarine_thickness,3
rh_G&S_cingul-Mid-Ant_area,3
lh_G_orbital_thickness,3
rh_G_Ins_lg&S_cent_ins_area,3
lh_S_pericallosal_area,3
lh_S_circular_insula_ant_thickness,3
rh_G&S_frontomargin_thickness,3
lh_S_oc_middle&Lunatus_area,2
rh_G_postcentral_area,2
lh_G&S_paracentral_thickness,2
lh_G&S_cingul-Ant_area,2
lh_G_temp_sup-Plan_polar_area,2
rh_S_postcentral_area,2
lh_G_precuneus_area,2
rh_G_precuneus_area,2
lh_G_temp_sup-G_T_transv_thickness,2
lh_G_oc-temp_med-Lingual_thickness,2
rh_S_parieto_occipital_area,2
lh_S_circular_insula_sup_area,2
rh_G_subcallosal_area,2
lh_S_temporal_sup_area,2
lh_S_orbital-H_Shaped_thickness,2
lh_S_circular_insula_ant_area,2
lh_S_oc-temp_lat_area,2
rh_S_subparietal_thickness,2
lh_G_cingul-Post-ventral_area,1
lh_G_front_inf-Triangul_area,1
lh_S_orbital_med-olfact_area,1
rh_G_oc-temp_med-Parahip_area,1
lh_G_subcallosal_area,1
lh_G_subcallosal_thickness,1
lh_S_front_middle_thickness,1
rh_Pole_occipital_area,1
lh_S_occipital_ant_area,1
rh_S_precentral-sup-part_thickness,1
lh_G_insular_short_thickness,1
rh_S_parieto_occipital_thickness,1
lh_S_orbital_lateral_thickness,1
rh_G_front_inf-Orbital_thickness,1
rh_Lat_Fis-ant-Horizont_thickness,1
lh_S_temporal_inf_thickness,1
lh_G_cuneus_area,1
lh_G_cuneus_thickness,1
rh_S_oc-temp_med&Lingual_area,1
rh_G_precentral_area,1
rh_Pole_temporal_area,1
lh_G_pariet_inf-Angular_area,1
rh_S_front_inf_thickness,1
rh_G_temporal_inf_area,1
lh_Lat_Fis-ant-Vertical_area,1
