,feature
lh_PuI,9
lh_VPL,8
rh_HATA,7
rh_S_collat_transv_post_thickness,7
rh_VM,7
lh_S_circular_insula_inf_thickness,6
lh_S_pericallosal_area,6
rh_S_orbital-H_Shaped_area,6
rh_S_front_middle_area,6
rh_L-Sg,6
lh_S_oc_sup&transversal_area,5
rh_CA3-body,5
lh_fimbria,5
lh_G_rectus_thickness,5
rh_G_insular_short_thickness,4
rh_G&S_cingul-Mid-Post_area,4
rh_S_collat_transv_ant_thickness,4
rh_G&S_cingul-Mid-Ant_area,4
lh_G_precuneus_area,4
lh_G_precentral_area,3
lh_Lat_Fis-post_area,3
rh_S_cingul-Marginalis_thickness,3
rh_WhiteSurfArea_area,3
rh_S_intrapariet&P_trans_area,3
rh_S_front_sup_thickness,3
rh_PuM,2
lh_S_oc-temp_lat_area,2
rh_VLa,2
rh_Lat_Fis-ant-Horizont_area,2
lh_Pole_temporal_thickness,2
lh_S_orbital_lateral_thickness,2
rh_PuL,2
lh_Hippocampal_tail,2
rh_Medial-nucleus,2
rh_PuA,2
rh_G_front_inf-Orbital_area,2
lh_G_occipital_sup_thickness,2
rh_S_interm_prim-Jensen_thickness,1
lh_VLp,1
lh_Paralaminar-nucleus,1
lh_S_precentral-inf-part_area,1
lh_hippocampal-fissure,1
lh_S_oc-temp_med&Lingual_area,1
lh_Pole_temporal_area,1
rh_S_orbital_lateral_thickness,1
lh_G_front_inf-Orbital_area,1
rh_G_postcentral_area,1
lh_Pole_occipital_area,1
lh_Lat_Fis-ant-Horizont_thickness,1
rh_MDm,1
rh_S_suborbital_area,1
lh_G_oc-temp_med-Parahip_area,1
lh_Medial-nucleus,1
lh_S_circular_insula_inf_area,1
rh_MGN,1
