,p_corrected,feature
0,1.9938096747925448e-17,rh_VM
1,1.0,lh_S_pericallosal_area
2,1.0,rh_G_postcentral_area
3,1.0,rh_S_front_sup_area
4,1.0,lh_G_rectus_thickness
5,1.0,rh_L-Sg
6,1.0,lh_S_oc_sup&transversal_area
7,1.0,rh_G_temp_sup-G_T_transv_area
8,1.0,lh_S_circular_insula_inf_thickness
9,1.0,lh_PuI
10,0.01988322009836058,rh_CA3-body
11,0.01988322009836058,lh_VPL
12,1.0,rh_G_oc-temp_lat-fusifor_area
13,1.0920595838983779e-08,rh_MDm
14,1.5364257280351666e-07,lh_S_pericallosal_thickness
15,1.0,rh_S_circular_insula_inf_thickness
16,1.0,rh_G_cuneus_thickness
