,p_corrected,feature
0,1.0,lh_PuI
1,1.3754345294049373e-10,lh_VPL
2,1.9737233495470455e-08,lh_G_oc-temp_med-Lingual_thickness
3,0.0481684599424644,lh_G_insular_short_area
4,1.9737233495470455e-08,rh_CA3-body
5,1.0,lh_fimbria
6,1.0,rh_G&S_transv_frontopol_area
7,1.0535408185691568e-05,rh_S_collat_transv_post_thickness
8,1.0,rh_G_front_middle_area
9,1.0,lh_G_rectus_area
10,1.0,lh_G_temporal_inf_area
11,1.0,lh_G_temp_sup-Plan_tempo_area
12,1.0,rh_S_orbital_lateral_thickness
13,1.0,rh_L-Sg
14,0.0011485532220916386,rh_S_occipital_ant_thickness
15,0.0021536168511326,lh_G_temp_sup-Lateral_area
16,1.0,lh_S_orbital-H_Shaped_thickness
17,1.0,lh_G&S_occipital_inf_area
18,0.03525901476142709,lh_G_temp_sup-Plan_polar_area
19,1.0,lh_G_pariet_inf-Supramar_area
20,0.00016899829347024554,rh_Pf
21,1.0,lh_G_cingul-Post-dorsal_area
22,1.0,lh_WhiteSurfArea_area
23,0.00010645644529685324,rh_CA3-head
24,1.3957980301530139e-08,rh_VLa
25,0.0003100218802063414,lh_HATA
26,3.0761133612511933e-07,rh_MDm
27,1.0,lh_G_oc-temp_lat-fusifor_area
28,1.0,lh_Lat_Fis-ant-Vertical_area
29,1.0,rh_S_oc-temp_med&Lingual_area
30,1.0,lh_MDl
31,1.0,rh_S_orbital-H_Shaped_area
32,5.55829049868157e-23,rh_VM
33,0.029376995728014804,lh_S_pericallosal_area
34,1.0,rh_Medial-nucleus
35,0.0028677479312089996,rh_S_front_sup_area
36,5.273024870957203e-07,lh_VLp
37,1.0,rh_G_oc-temp_med-Lingual_area
38,0.0003798562120159511,rh_Pole_temporal_area
39,0.020508628746256537,rh_S_front_middle_area
40,1.0,lh_PuM
41,0.0019051060518209522,rh_PuM
42,1.0,lh_G_postcentral_area
43,1.0,rh_G_temp_sup-Plan_tempo_area
44,1.0,lh_G_front_inf-Opercular_thickness
45,1.0,rh_hippocampal-fissure
