,p_corrected,feature
0,7.88152860280581e-40,rh_VM
1,1.0,rh_G_temp_sup-G_T_transv_area
2,1.0,rh_S_front_sup_area
3,1.0,lh_S_pericallosal_area
4,0.04748341219598531,rh_G_postcentral_area
5,1.0,rh_L-Sg
6,7.177369418445962e-06,rh_CA3-body
7,6.797674155471317e-14,lh_VPL
8,0.0058362618666710645,lh_S_oc_sup&transversal_area
9,1.0,lh_G_rectus_thickness
10,1.0,lh_PuI
11,1.0,lh_S_circular_insula_inf_thickness
12,1.0453149377093251e-13,rh_MDm
13,1.0,rh_S_circular_insula_inf_thickness
14,5.625769972449666e-05,rh_G_cuneus_thickness
15,1.0,lh_S_orbital-H_Shaped_thickness
16,1.0,lh_PuM
17,1.0,lh_S_front_sup_area
